ano,sigla_uf,id_municipio,id_escola,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,RO,1100205,11000058,privada,medio,todos (1-4),,,,,,,
2019,RO,1100205,11000244,privada,medio,todos (1-4),,,,,,,
2023,RO,1100205,11000252,privada,medio,todos (1-4),,,,,,,
2011,RO,1100205,11000260,estadual,fundamental,finais (6-9),"78,6","0,78542697",,,,,"4,6"
2021,RO,1100205,11000295,estadual,fundamental,iniciais (1-5),,,,,,,"6,6"
2017,RO,1100205,11000368,municipal,fundamental,finais (6-9),"90,2","0,90200001",,,,,"4,4"
2021,RO,1100205,11000384,estadual,medio,todos (1-4),"82,6","0,827631",,,,,
2017,RO,1100205,11000384,estadual,fundamental,finais (6-9),"88,2","0,88200003",,,,,"5,1"
2019,RO,1100205,11000384,estadual,medio,todos (1-4),"62,1","0,63616502",,,,,
2017,RO,1100205,11000457,estadual,medio,todos (1-4),"86,4","0,884588",,,,,
2019,RO,1100205,11000457,estadual,medio,todos (1-4),"69,7","0,699525",,,,,
2023,RO,1100205,11000465,municipal,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100205,11000465,municipal,fundamental,iniciais (1-5),,,,,,,"5,9"
2013,RO,1100205,11000465,municipal,fundamental,iniciais (1-5),,,,,,,"4,7"
2021,RO,1100205,11000554,estadual,medio,todos (1-4),"69,8","0,705981",,,,,"3,8"
2017,RO,1100346,11000589,municipal,fundamental,iniciais (1-5),100,1,,,,,"4,9"
2021,RO,1100346,11000589,municipal,fundamental,iniciais (1-5),,,,,,,"5,5"
2011,RO,1100346,11000589,municipal,fundamental,iniciais (1-5),,,,,,,"4,1"
2023,RO,1100346,11000589,municipal,fundamental,finais (6-9),,,,,,,
2023,RO,1100205,11000597,estadual,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100205,11000597,estadual,fundamental,iniciais (1-5),,,,,,,"5,4"
2021,RO,1100205,11000660,municipal,fundamental,iniciais (1-5),100,1,,,,,"5,6"
2023,RO,1100205,11000678,estadual,fundamental,finais (6-9),,,,,,,
2021,RO,1100205,11000678,estadual,fundamental,finais (6-9),,,,,,,"4,6"
2017,RO,1100205,11000708,estadual,medio,todos (1-4),"77,7","0,782592",,,,,
2023,RO,1100205,11000848,estadual,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100205,11000864,municipal,fundamental,finais (6-9),,,,,,,"4,2"
2021,RO,1100205,11000910,estadual,fundamental,finais (6-9),,,,,,,"6,5"
2007,RO,1100205,11000910,estadual,fundamental,iniciais (1-5),,,,,,,
2005,RO,1100205,11000910,estadual,fundamental,iniciais (1-5),,,,,,,
2021,RO,1100205,11000937,estadual,medio,todos (1-4),,,,,,,"4,1"
2019,RO,1100205,11000937,estadual,medio,todos (1-4),,,,,,,"3,8"
2017,RO,1100205,11000937,estadual,fundamental,iniciais (1-5),,,,,,,"5,4"
2021,RO,1100205,11000937,estadual,fundamental,iniciais (1-5),,,,,,,"5,9"
2021,RO,1100205,11000970,estadual,fundamental,iniciais (1-5),,,,,,,"6,9"
2021,RO,1100205,11001003,municipal,fundamental,iniciais (1-5),"99,6","0,996582",,,,,"5,3"
2017,RO,1100205,11001003,municipal,fundamental,finais (6-9),,,,,,,"4,6"
2019,RO,1100205,11001003,municipal,fundamental,finais (6-9),,,,,,,"4,8"
2007,RO,1100205,11001011,municipal,fundamental,finais (6-9),,,,,,,
2019,RO,1100205,11001011,municipal,fundamental,iniciais (1-5),,,"190,88","180,83","4,8949919",,"5,1"
2021,RO,1100205,11001046,estadual,medio,todos (1-4),"81,5","0,812935",,,,,
2017,RO,1100205,11001135,estadual,medio,todos (1-4),"90,4","0,92203099",,,,,
2021,RO,1100205,11001143,estadual,fundamental,iniciais (1-5),"92,7","0,929593",,,,,"5,8"
2019,RO,1100205,11001160,estadual,fundamental,finais (6-9),"88,1","0,882016",,,,,"4,7"
